event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"ITF MĘŻCZYŹNI - DEBEL: M15 Bucharest (Rumunia), ziemna - Ćwierćfinał",27-05-2021 14:00:00,Facundo Juarez / Tomas Lipovsek Puches,Oscar Jose Gutierrez / Cristian Rodriguez,0,,,0,,,, / , / ,558 / 618,414 / 507,https://www.flashscore.pl/zawodnik/juarez-facundo/6JuNHbeH / https://www.flashscore.pl/zawodnik/lipovsek-puches-tomas/pvwOgLl7,https://www.flashscore.pl/zawodnik/gutierrez-oscar-jose/KngbSEyS / https://www.flashscore.pl/zawodnik/rodriguez-cristian/A9TAOZGc,2.2,1.57,2.2,1.57,2.18,1.56,,,2.25,1.55,,,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Bucharest (Rumunia), ziemna - 1/8-finału",27-05-2021 14:00:00,Juan Ignacio Galarza / Juan Pablo Paz,Vlad Andrei Dumitru / Nicolae Frunza,0,,,0,,,, / , / ,597 / 588, / 652,https://www.flashscore.pl/zawodnik/galarza-juan-ignacio/bssShu4D / https://www.flashscore.pl/zawodnik/paz-juan-pablo/CQu4E1iM,https://www.flashscore.pl/zawodnik/dumitru-vlad-andrei/dfB2O64E / https://www.flashscore.pl/zawodnik/frunza-nicolae/GhFipgQ7,,,,,,,,,,,,,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Bucharest (Rumunia), ziemna - 1/8-finału",27-05-2021 15:00:00,Vlad Andrei Dancu / Vladimir Filip,Simon Carr / Clement Tabur,0,,,0,,,, / , / ,1015 / 1669,581 / 579,https://www.flashscore.pl/zawodnik/dancu-vlad-andrei/fD3i7TJE / https://www.flashscore.pl/zawodnik/filip-vladimir/dSbq41Wh,https://www.flashscore.pl/zawodnik/carr-simon/dnodA3MQ / https://www.flashscore.pl/zawodnik/tabur-clement/fHPZtbgE,2.55,1.43,2.55,1.42,2.55,1.42,,,,,,,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Heraklion 8 (Grecja), twarda - Ćwierćfinał",27-05-2021 15:00:00,Runhao Hua / Ze Zhang,Vasilios Caripi / Kelsey Stevenson,0,,,0,,,, / , / ,732 / 509, / 687,https://www.flashscore.pl/zawodnik/hua-runhao/YBQFh01a / https://www.flashscore.pl/zawodnik/zhang-ze/nwLBAT18,https://www.flashscore.pl/zawodnik/caripi-vasilios/8O3OtQXN / https://www.flashscore.pl/zawodnik/stevenson-kelsey/QHV0xPWe,1.09,5.8,1.1,5.75,1.09,5.6,,,1.07,6.5,1.08,6.1,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Kouvola (Finlandia), twarda - Ćwierćfinał",27-05-2021 15:00:00,Alafia Ayeni / Dominik Palan,Rimpei Kawakami / Naoki Tajima,0,,,0,,,, / , / ,874 / 910,951 / 664,https://www.flashscore.pl/zawodnik/ayeni-alafia/d4vwHiRI / https://www.flashscore.pl/zawodnik/palan-dominik/Q5wGqMq4,https://www.flashscore.pl/zawodnik/kawakami-rimpei/4WORhvEb / https://www.flashscore.pl/zawodnik/tajima-naoki/CO0Fr0PC,2.9,1.34,2.9,1.35,2.9,1.33,2.92,1.34,2.85,1.36,2.9,1.34,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Kouvola (Finlandia), twarda - Ćwierćfinał",27-05-2021 15:00:00,Alexander Cozbinov / Francesco Vilardo,August Ehrnrooth / Karl Kiur Saar,0,,,0,,,, / , / ,670 / 709, / 1873,https://www.flashscore.pl/zawodnik/cozbinov-alexander/4pzZQf0c / https://www.flashscore.pl/zawodnik/vilardo-francesco/2NBznGjm,https://www.flashscore.pl/zawodnik/ehrnrooth-august/231m3prH / https://www.flashscore.pl/zawodnik/saar-karl-kiur/b3mTZCgB,1.17,4.2,1.17,4.25,1.17,4.1,1.17,4.24,,,1.13,4.85,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Kouvola (Finlandia), twarda - Ćwierćfinał",27-05-2021 16:00:00,Johannes Seeman / Eero Vasa,Vladimir Ivanov / Yan Sabanin,0,,,0,,,, / , / , / 1195,706 / 849,https://www.flashscore.pl/zawodnik/seeman-johannes/hCN9L9Le / https://www.flashscore.pl/zawodnik/vasa-eero/2eEQepaQ,https://www.flashscore.pl/zawodnik/ivanov-vladimir/Szfsjwks / https://www.flashscore.pl/zawodnik/sabanin-yan/j7KLz3vg,3.05,1.32,3.05,1.32,3.0,1.31,3.03,1.32,,,3.2,1.28,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Kouvola (Finlandia), twarda - Ćwierćfinał",27-05-2021 16:00:00,Jonas Maier / Simonas Zukauskas,Luca Castelnuovo / Yannik Steinegger,0,,,0,,,, / , / ,1788 / ,717 / 1291,https://www.flashscore.pl/zawodnik/jonas-maier/A5B3FzKa / https://www.flashscore.pl/zawodnik/zukauskas-simonas/hvC0JtjQ,https://www.flashscore.pl/zawodnik/castelnuovo-luca/tMTm47i0 / https://www.flashscore.pl/zawodnik/steinegger-yannik/ryXdbkxH,6.0,1.08,6.05,1.08,5.8,1.08,6.03,1.08,,,7.0,1.05,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Monastir (Tunezja), twarda - Ćwierćfinał",27-05-2021 14:30:00,Jacob Brumm / Yuta Kikuchi,Guy Orly Iradukunda / Louis Tessa,0,,,0,,,, / , / ,1532 / 1173,842 / 832,https://www.flashscore.pl/zawodnik/brumm-jacob/bo0dpKSC / https://www.flashscore.pl/zawodnik/kikuchi-yuta/KCfjLEXp,https://www.flashscore.pl/zawodnik/iradukunda-guy-orly/UZLF1SkR / https://www.flashscore.pl/zawodnik/tessa-louis/6aqE7xUc,3.35,1.27,3.35,1.27,3.25,1.26,3.33,1.27,3.45,1.25,3.35,1.26,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Monastir (Tunezja), twarda - Ćwierćfinał",27-05-2021 14:30:00,Eliakim Coulibaly / Luca Potenza,Gustavo Heide / Alejo Lorenzo Lingua Lavallen,0,,,0,,,, / , / ,963 / 633,1416 / 703,https://www.flashscore.pl/zawodnik/coulibaly-eliakim/fDyAJ1Qn / https://www.flashscore.pl/zawodnik/potenza-luca/KQ97KSpp,https://www.flashscore.pl/zawodnik/heide-gustavo/6krWmGif / https://www.flashscore.pl/zawodnik/lingua-lavallen-alejo-lorenzo/8tL6uZFb,1.31,3.1,1.3,3.1,1.3,3.05,1.31,3.08,1.29,3.2,1.3,3.1,,
