event,match_time,player_1,player_2,player_1_score_sets,player_1_score_games,player_1_score_points,player_2_score_sets,player_2_score_games,player_2_score_points,serving,player_1_nationality,player_2_nationality,player_1_rank,player_2_rank,player_1_link,player_2_link,player_1_eFortuna,player_2_eFortuna,player_1_STS,player_2_STS,player_1_Betclic,player_2_Betclic,player_1_Betfan,player_2_Betfan,player_1_Pzbuk,player_2_Pzbuk,player_1_Lvbet,player_2_Lvbet,player_1_Totolotek,player_2_Totolotek
"ITF MĘŻCZYŹNI - DEBEL: M15 Monastir (Tunezja), twarda - Ćwierćfinał",06-05-2021 16:30:00,Mattia Frinzi / Andrea Picchione,Karlis Ozolins / Robert Strombachs,0,,,0,,,, / , / ,1082 / 1049,1013 / 658,https://www.flashscore.pl/zawodnik/frinzi-mattia/KtEECKgm / https://www.flashscore.pl/zawodnik/picchione-andrea/UgYMlRTa,https://www.flashscore.pl/zawodnik/ozolins-karlis/MB97cB9p / https://www.flashscore.pl/zawodnik/strombachs-robert/vkHiVp09,2.08,1.64,2.1,1.65,2.06,1.63,2.08,1.64,2.15,1.62,2.18,1.58,,
"ITF MĘŻCZYŹNI - DEBEL: M15 Ramat Hasharon (Izrael), twarda - Ćwierćfinał",06-05-2021 15:30:00,Luca Castelnuovo / Alexandar Lazarov,Yshai Oliel / Ben Patael,0,,,0,,,, / , / ,736 / 557,446 / 647,https://www.flashscore.pl/zawodnik/castelnuovo-luca/tMTm47i0 / https://www.flashscore.pl/zawodnik/lazarov-alexandar/QcFUMuho,https://www.flashscore.pl/zawodnik/oliel-yshai/jXEvpnEA / https://www.flashscore.pl/zawodnik/patael-ben/6H4MlA75,1.83,1.83,1.85,1.85,,,1.83,1.83,1.83,1.86,,,,
"ITF KOBIETY - DEBEL: W100 Charleston, SC (USA), ziemna - Ćwierćfinał",06-05-2021 20:00:00,Aleksandra Krunic / Urszula Radwańska,Quinn Gleason / Jamie Loeb,0,,,0,,,, / , / ,218 / 225,444 / 267,https://www.flashscore.pl/zawodnik/krunic-aleksandra/2HWgFEu7 / https://www.flashscore.pl/zawodnik/radwanska-urszula/8nwHy6Ml,https://www.flashscore.pl/zawodnik/gleason-quinn/GUlv5xbO / https://www.flashscore.pl/zawodnik/loeb-jamie/dnuFIN0K,1.39,2.7,1.4,2.7,1.38,2.65,1.39,2.69,1.38,2.75,1.39,2.65,1.38,2.72
"ITF KOBIETY - DEBEL: W100 Charleston, SC (USA), ziemna - Ćwierćfinał",06-05-2021 20:00:00,Caty McNally / Storm Sanders,Erin Routliffe / Aldila Sutjiadi,0,,,0,,,, / , / ,110 / 166,820 / 401,https://www.flashscore.pl/zawodnik/mcnally-caty/YDHquro6 / https://www.flashscore.pl/zawodnik/sanders-storm/WEvLWEdN,https://www.flashscore.pl/zawodnik/routliffe-erin/CvDr9J3L / https://www.flashscore.pl/zawodnik/sutjiadi-aldila/MkQRDMUh,1.21,3.75,1.22,3.75,1.21,3.65,1.21,3.75,1.25,3.45,1.18,4.1,1.25,3.41
"ITF KOBIETY - DEBEL: W100 Charleston, SC (USA), ziemna - Ćwierćfinał",06-05-2021 20:00:00,Irina Maria Bara / Mayar Sherif,Hailey Baptiste / Whitney Osuigwe,0,,,0,,,, / , / ,133 / 123,211 / 184,https://www.flashscore.pl/zawodnik/bara-irina-maria/zk2irZZG / https://www.flashscore.pl/zawodnik/sherif-mayar/0QlxEb7i,https://www.flashscore.pl/zawodnik/baptiste-hailey/Cjagsdf4 / https://www.flashscore.pl/zawodnik/osuigwe-whitney/GEAmUZ6D,1.58,2.19,1.57,2.2,1.57,2.17,1.58,2.19,1.57,2.25,1.56,2.2,1.55,2.23
"ITF KOBIETY - DEBEL: W100 Charleston, SC (USA), ziemna - Ćwierćfinał",06-05-2021 20:00:00,Olga Goworcowa / Renata Zarazua,Eri Hozumi / Miyu Kato,0,,,0,,,, / , / ,142 / 141,402 / 1063,https://www.flashscore.pl/zawodnik/gworcowa-olga/vswbtoVO / https://www.flashscore.pl/zawodnik/zarazua-renata/6TlRnRze,https://www.flashscore.pl/zawodnik/hozumi-eri/007xoimf / https://www.flashscore.pl/zawodnik/kato-miyu/raRNE2Fn,1.61,2.13,1.62,2.15,1.6,2.11,1.61,2.13,1.6,2.2,1.6,2.16,1.6,2.14
"ITF KOBIETY - DEBEL: W15 Antalya (Turcja), ziemna - Ćwierćfinał",06-05-2021 15:00:00,Diana Demidova / Sapfo Sakellaridi,Doga Turkmen / Ozlem Uslu,0,,,0,,,, / , / ,973 / 636, / 1108,https://www.flashscore.pl/zawodnik/demidova-diana/UumN7sAb / https://www.flashscore.pl/zawodnik/sakellaridi-sapfo/dMJ7CkK2,https://www.flashscore.pl/zawodnik/turkmen-doga/Ukf9o1b1 / https://www.flashscore.pl/zawodnik/uslu-ozlem/vumrN9SF,1.41,2.6,1.42,2.6,1.4,2.6,1.41,2.62,1.44,2.55,1.4,2.65,,
"ITF KOBIETY - DEBEL: W15 Cairo (Egipt), ziemna - Ćwierćfinał",06-05-2021 15:45:00,Petia Arshinkova / Gergana Topalova,Yasmin Ezzat / Clervie Ngounoue,0,,,0,,,, / , / ,507 / 466,1198 / ,https://www.flashscore.pl/zawodnik/arshinkova-petia/WE0ktmq5 / https://www.flashscore.pl/zawodnik/topalova-gergana/ptenoUxT,https://www.flashscore.pl/zawodnik/ezzat-yasmin/4tIAQcH8 / https://www.flashscore.pl/zawodnik/ngounoue-clervie/dlm9zwW5,1.18,4.1,1.16,4.35,,,1.16,4.37,1.16,4.5,1.16,4.35,,
"ITF KOBIETY - DEBEL: W15 Monastir (Tunezja), twarda - Ćwierćfinał",06-05-2021 15:45:00,Federica Prati / Julia Stamatova,Gozal Ainitdinova / Anna Kubareva 0:2,0,,,0,,,, / , / ,828 / 689,472 / 433,https://www.flashscore.pl/zawodnik/prati-federica/OWJIVdO2 / https://www.flashscore.pl/zawodnik/stamatova-julia/d09ktFe3,https://www.flashscore.pl/zawodnik/ainitdinova-gozal/nVbd1vzE / https://www.flashscore.pl/zawodnik/kubareva-anna/KOdaOyWk,3.7,1.22,3.7,1.22,3.65,1.21,3.72,1.22,4.0,1.2,,,,
"ITF KOBIETY - DEBEL: W15 Monastir (Tunezja), twarda - Ćwierćfinał",06-05-2021 16:30:00,Angelica Raggi / Chiara Scholl,Ayumi Koshiishi / Himeno Sakatsume,0,,,0,,,, / , / ,809 / 611,913 / 663,https://www.flashscore.pl/zawodnik/raggi-angelica/zZF2R0wL / https://www.flashscore.pl/zawodnik/scholl-chiara/nBBHFxsg,https://www.flashscore.pl/zawodnik/koshiishi-ayumi/fLyGHjgF / https://www.flashscore.pl/zawodnik/sakatsume-himeno/zZoU3kJa,1.25,3.45,1.25,3.45,,,1.25,3.47,1.23,3.6,1.23,3.6,,
